anime_id,review_text,review_rating,author_username
19815,"
                No game no life never cease to amaze me. Even after rewatching, I still found myself to be impressed by this masterpiece of an anime.
The vibrant and saturated color scheme. 
The witty and unstoppable main character duo. 
The concept of Disboard and ten commandments. 
The insane amount of thought and effort put into each game.The hype around Shiro and Sora as they triumphant over their opponents.
The occasional comedic relief of Jibril and Stephanie.
The ability to persist despite being at a heavy disadvantage.
The unpredictability of how the plot development is going to progress.
The occasional ""Wow"" factor that is expected to come, yet comes when you are caught off-guard.
The epic cliffhangers that leave you wanting for more.
The whole idea of playing games as a mean to win whatever it is one desire.
And ultimately, some fanservices here and there to finish off the cherry on top.
There you have it. No Game No Life in a nutshell.
※ Personal Opinions ※
► Many of the games conditions on how Sora and Shiro won can be ridiculous to the point of ""WOW, THAT IS NEARLY IMPOSSIBLE."" This is a double-edged sword, but I believe it is necessary if they want to play against Tet, the god of the universe.
► Fanservice. I agree that there seems to be an extent of it. There are many unnecessary moments where it may kill off the overall vibe of the show. My hope is that season 2 (if it ever comes) tone it down.
► I can't wait for what sort of games awaits for Sora and Shiro and I am extremely excited to see how they will overcome their obstacles through their own ""BLANK"" ways.
Overall, I personally love this show and it's, without a doubt, in my top 5. It is an anime that has inspired and motivated me to create my own related content -- and that to me, is a masterpiece. When an anime creates inspiration an individual.",10,AmaeMei
19815,"
This anime has proven to be one of the best anime that I have seen in a very long time. I really enjoyed watching it and hope for a second season (but its madhouse so there probably wont be). The only thing I can do is pray to kami-sama and beg for a second season.
Story development: 9.5/10
Art: 10/10
Characters: 9/10 (no cat girl loli until the end of the anime)
Moe factor: 7/10
                   - for those weebs who dont know, moe means cuteness                 basically.
                    - this score was based on cuteness that only appeared in the 
                      last episode and will not be included in the final scoring
TIME FOR THE FINAL SCORE BOIS AND GIRLS!!!!
as I have seen anime over the past 6 years, I consider myself somewhat of an anime expert. I can only laugh with joy about this anime and see that this anime is something that can be truly worth ""God Tier"". This rank is something that I have never given an anime before because I have never felt more fulfilled to watch an anime that exceeds my expectations this much. But...some things are left wanted for by the ending. since this is a madhouse anime, this is both a negative and a positive; negative because there is a low chance of a second season, but its a positive because Madhouse has never made a bad anime that I have seen. Overall, a very good watch that I would definitely recommend to others.
Overall: 28.5/30 = 95% out of 100%",9,Fish_Babies
19815,"
                If no more ""No Game No Life"" then No life.
INITIAL THOUGHTS
When i first saw the trailer I was so hyped to watch this anime. The art work was like the best of the best. The story seemed really interesting and I was really looking forward to it but the one thing which really annoying was there were only 12 episodes and season 2 was never coming out. 
SUGGESTION
If you are really into anime then you SHOULD go watch this.
STOPILERS AHEAD ( ON YOUR OWN RISK)
CHARACTERS (TOP 5)
Sora - He is the main male protagonist and has a kawaii loli step sister Shiro (loli angel). He was abandoned by his parents and was later adoped by Shiro's parents having gone through a rough childhood, he has a lot of  hate towards life and is pretty much dedicated only to gaming.
Shiro - She is also the main protagonist and has a dashing cool loli-king step brother Sora. She along with her brother were abandoned by their parents and are only dedicated to gaming. She was bullied in her school life and really hated school.
Tet - The One True God of 'Disboard' is a god and resides in the king piece He achieved the title after the eternal war which he won after he obtained the Star Cup before any of the other gods and surpassed their strength despite not participating in the war at all .After both Shiro and Sora defeated him in a game of Internet chess, he summoned the siblings to Disboard in order to challenge him.
Jibrel - She is an angel and 100% waifu material. She owned the National Library of Elchea after defeating the previous king and later became the servant of Shiro and Sora after being defeated by them in a game in which she bet her life and the library against Sora's tab consisting of 40,000 books. She doesn't understand what love is and has a constant crave for knowledge and the feeling called love. She is extremely powerful and is soft spoken and polite.
Stephanie - She is the  granddaughter of the Former King of Imanity. After the king's death, she gambled to become the next queen of the country which she lost and later Shiro and Sora helped her get the throne back.
STORY
The story starts by showing just how OP Shiro and Sora are in the human world, they have top scores in all games and even cheats cannot defeat them. They both together form ""The Blank"" which has never suffered a defeat. 
  One day they got an anonymous message telling questioning them about the world and inviting them to play a game of chess. They readily agreed and eventually won. Then they got another message telling how unfair the world is and if they wanted to live in a world where game decided everything and they replied positively and they they were transported to a land where everything was decided by games known as Disboard.
  They soon learned that Disboard has 10 rules or 10 pledges which governed the working of the world, they were following :-
|1|  Any kind of violence is forbidden in this world.
|2|  Any conflict in this world could be solved by games.
|3|  When playing a game, both party should bet things of equal values
|4|  Anything could be places at bet as long as it satisfies the third pledge.
|5|  The challenged party has the right to decide the rules of the game.
|6|  Any bet placed for the game should be upholded
|7|  Conflicts between two races should only be solved by thier respective representatives thought a game.
|8|  Being caught cheating results in insta loos
|9|  In the name of god, the rules can never be changed.
|10|Everyone should enjoy the game they play 
The rules are absolute and should be followed. They were powered by The  Star Cup
There are 16 races in the land just like 16 pieces in a chess board. The races are listed below in respect to their race piece which is shaped like a chess pieces :-
King     - Imanity
Queen  - Flügel
Bishop  - Dwarf
Bishop  - Ex-machina
Knight  - Dhampir
Knight  - Seiren
Rook    - Elf
Rook    - Lunamana
Pawn   - Old Deus
Pawn   - Phantasma
Pawn   - Elemental
Pawn   - Dragonia
Pawn   - Gigant
Pawn   - Fairy
Pawn   - Demonia
Pawn   - Werebeast
The story then continued with Sora and Shiro learning that Imanity is the last race and with the least influence. They both then became the crowned king and queen of Imanity and with the aim to unite all the races and challenge the true king Tet for a match.
ART AND SOUND
No.1 - YOU ARE NOT ON DRUGS.The art and sounds are really amazing, the art of this anime is waht makes it stand out from other anime. It's neonish color is really catchy and its sound is great too. 
ENJOYMENT
It's really entertaining and addictive. The story unfolds with dumb ideas which are then made to be believed really smart. The games and all the scientific references are really great. (especially the Columb force.)
OVERALL
Overall, I really enjoyed this anime. 
If you watch anime then this is a must for you
Thank you.",10,Visual55
19815,"
                I normally consider myself generous when rating shows but this anime pushed my limits.
Story
Sora and Shiro are intelligent siblings who join a game world. They want to take over the world and become Gods. In general it’s a very basic isekai anime that offers nothing special. Half the games they play are not enjoyable to watch since they were boring and did not make sense (such as the chess game they played in the earlier episodes)
Art
I wasn’t a fan of the art. To be honest, the neon colours gave me a headache but the animation was fine.
Sound
The sound was average and nothing special or memorable.
Characters 
The characters are godawful. There is nothing special about Sora and Shiro except for their weird sibling dynamic and their high intelligence. Watching their their relationship was like watching borderline incest, but that’s what’s expected of a crappy anime that follows crappy tropes.
Other side characters were forgettable, but I remember Stephanie or whatever her name was, but her main role I recall is acting like a fan service puppy. 
That’s all there is to this anime in general; extremely excessive fan service that had nothing to offer. The up close shots of Shiros underwear made me feel like I was put on to an FBI watchlist.
The plot was lacklustre and 90% of it was fan service and 10% on boring games that were not impressive. 
Enjoyment: 0/10
I don’t know who would enjoy watching this. The only good thing about this anime was the jojo references. Maybe if you are into lolis and like fan service over an actual plot, it might be your thing but if it is, you need to go outside and touch grass.",1,wowsam
19815,"
                -Imagine if you an SO that kept talking to you all the time about how you're going to get married and then dumps you after your first kiss. No matter how amazing they might have been, you're kind of bound to hate them.- That's how NGNL made me feel. Not the first anime I've watched that did this, but definitely the best (other examples are Deadman Wonderland and High School of the Dead). What i mean is that this anime, throughout these 12 episodes keeps building up a whole story in a beautiful way. ""Sora and Shiro's mission to defeat god by beating the whole
                  world with their gaming skills"", a story with huge potential that appealed to so many viewers that the anime is the 12th most popular anime on MAL, right after Future Diary (#11). But if you're wondering how two kids from this world can conquer a new one and become gods in 12 episodes, guess what, [spoiler?] they don't... We get an entire first season that builds up a plot worthy of at least 50 episodes, but we stop at 12. Some could say that this entire anime is just a promotion for the light novel and i couldn't agree more. If you decide to watch this, be prepared to never get closure (the ending is a cliffhanger ffs).
Moving onto the regular review part:
Story - Extremely interesting. I presonally found the whole concept amazing and finished the whole anime in one go. Paced really well, doesn't let you get bored for a second, i didn't think of any episodes as fillers or that any plot points were rushed. As i mentioned above, there are many hints and stuff that are supposed to be explored in future seasons but the problem is that those don't exist. Generally, i think everyone can understand what's going on, but there are some points when Sora's explaining is a bit too complex that you may not really get what just happened. On the individual points, the comedy is decent, doesn't really crack you up but i wouldn't call it bad and the ecchi is pretty limited something i would say is to be expected from a PG-rated anime.
Art - Well this is a weird one. The animation was good for the most part, as it is with the other Madhouse productions, but the saturation was really off-the-effin-scale. Yes i agree that vivid colors are really nice, especially when the setting is a game but dammit 12 episodes with a saturation that high has its toll on the viewers eyes and the quality of the work. Since toddlers can't watch this you don't have to try that hard to appeal to the audience with such colors, you're not making toys.
Sound - Didn't really notice since i was either worrying about how the story wouldn't end in 12 episodes or trying to figure out what happened when i was worrying. OP was really good (i have it on loop rn), i never watch the ED when bingeing.
Characters - Sora and Shiro, the type of gamer every gamer aspires to be. Both geniuses, each covering the other's weaknesses. A great pair, but they're siblings so that's that. The characters generally are pretty interesting, as their personalities and relations are influenced by their respective races. Steph is usually the funniest around, since the siblings are too busy displaying their intelligence and game sense.
Enjoyment - I think this is the part where everyone has their own opinion so you're about to read mine. All in all, i really enjoyed this anime. The concept was new to me, the protagonists reminded me of dear Lelouch and the episodes were all fun. Never got bored and kept wanting to watch the next one, despite my gut telling me that the story wouldn't conclude this season around the 3rd episode. Despite that, i tried and managed to enjoy it very much while watching, even though now i'm sad knowing i won't know what happens next for a good year at least, if ever.
TL;DR: Incomplete story, really bright colors, amazing concept, great OP",7,Johnny386
19815,"
                This s a surprisingly interesting and occasionally very clever anime that has plenty of good jokes. Some of the games in the anime honestly reminded me of intellectual duels between L and Light Yagami in Death Note. 
Details:
Story - while the central idea (of two gamers thrown into a fantasy world where every conflict is solved by playing a game) is fairly simple, parts of the anime that involve puzzles are actually interesting and require thinking. There are also plenty of fairly good comedy scenes. Said comedy can be quite good.
I felt like the quality has dropped a bit in few final episodes, also those
                  episodes for some reason had more references to other anime in them.
Art:
Backgrounds are quite detailed, and art looks good, however, the anime made a fairly strange decision to render outlines on characters with hues red in large number of scenes. I'm not sure why they did that, red outlines can be distracting. Aside from that, art looks fairly good and detailed, although the style itself is fairly simple.
Sound:
Deccent music. Seems to complement the movie quite well, but doesn't stand out on its own.
Characters:
Characters mostly play their roles, and do not really develop over time. Basically, character intractions are often based around gags or the next plot device. Meaning they're interesting to watch, but not necessarily very realistic. Main heroes are some sort of super-intellectual neets, which is not very convincing on its own, and their first companion quickly devolves into a comic relief sidekick. ""Comic reliefs"" are qquite fun to watch., though.
Enjoyment:
It was interesting. ""games"" (basically, matches that settle something by playing some game)  depicted in the anime is quite interesting to watch and are not very predictable. The anime does get slightly worse near the end, but that's about it.
OverallL:
I'd recommend to watch it, if you have the time.",8,GrayRealm
19815,"
                No Game No Life is definitely something to watch. It may seem like your typical ""the virtual world is better than reality"" type show, but its not. 
STORY: The story starts out with a brother and sister, Sora and Shiro, who are NEETS and ALWAYS win the games they play. They are constantly bored with the life they live and wish for a more exciting life, little do they know that is what they'll get. They are then taken to another world that is solely based around games and gaming.
10/10
ART: The art in this anime is definitely something to talk about. With the vibrant colors,
                  you can't help but feel that you are in a game. The details and the scenery are also something to brag about, its very amazing.
10/10
SOUND: I'm always listening out for the BGM in animes and how the overall OST is. The BGM in No Game No Life is definitely one of my favorites so far this year in anime. The songs always help to set a mood, and also intensify many scenes throughout the anime which, in my opinion, ALWAYS helps an anime. I find myself constantly checking for when this OST is available. 
10/10
CHARACTERS: No Game No Life presents you with your stereotypical characters in anime, but represents them in a different way. Usually side characters have no depth and are only there to help advance the Main Characters in their development/story. But No Game No Life helps to break the boundaries of a typical anime character and adds more to them. You may think you know how a character will be, and then they surprise you with an interesting background to the character which also serves to get you emotionally attached to a character. 
10/10
ENJOYMENT: I never expected to enjoy this anime, cause I'm not that big a fan of Fanservice, but I couldn't help but wait week after week for the next episode. This anime is extremely funny as well as addicting to watch. 
10/10
OVERALL: Overall I will say that if you were having second thoughts on watching this anime, I suggest you put them aside and watch it. It may start out slow but once it starts progressing you can't help but feel that there weren't enough episodes.
10/10",10,drethough
19815,"
                I was so excited to watch this. The colours and the style... what was not to love? I mean the colour palette... I have NEVER seen something like this.
Then again how is this SO perverted? I mean, come on. I felt like a 48 year old perverted man watching this. 
It had a basic story line. Something done so often it should have bored people. I suppose not in this case. Probably because of the colours ;-;
I didn't like the characters. The only character I liked the main protagonist and everybody else just sucked, not including Shiro of course. They were all so daft and
                  it made me question how the ex-princess bet everybody at games.",4,DudexItsFiona
19815,"
                No Game No Life is a standout series, and its reputation as a hit was pretty much guaranteed from the start. A beautifully-animated adaptation of a light novel series full of crazy concepts and fanservice from Madhouse? Who wouldn't be up for that?
But while the series set itself up as a hit, did it make sure it was actually worthy of its reputation while doing so?
STORY (7/10):
No Game No Life has an entertaining concept: two NEET siblings who've never lost a game find themselves in a world where everything is decided on by games. However, parts of the story that are started are disappointingly left
                  unfinished, and considering the series has yet to have a second season announcement, you're going to have to read the light novels to get any sort of conclusion as to what I considered the most fascinating part of the story.
ART (8/10):
This series has a very shiny look to it. Madhouse clearly put a lot of work into making sure this series looked really good and would capture people's attentions just based on the artwork alone. 
SOUND (7/10):
I could take or leave the OP and ED, but if you are watching this series, you must absolutely watch the ED for episode 8. I can't spoil exactly why, but you will understand once you've finished the episode and be impressed by the special effort placed into making something a lot of people would end up skipping.
CHARACTER (6/10):
The area where I have the most issues with No Game No Life has to be the characters. Sora is borderline unlikable, considering how full of himself and full of random knowledge at times that are convenient to the plot he seems to be for a NEET. 
Shiro is a decent character, but I wish there was more focus on her character development throughout, and not just her breasts and panties (especially considering she's 11). The series spent a lot of time with Steph, but never seemed to use her as much other then a butt monkey.
I found myself preferring the minor characters in the series, such as the lovable heterosexual(?) life partners Chlammy and Fiel, charming underling with the most oddly entrancing eyes I've ever seen in anime Jibril, and child god we don't see enough of Tet.
ENJOYMENT (7/10):
My enjoyment of No Game No Life I'd have to say peaked at episode 6, with the series' most creative game and introduction of a great character. That episode alone deserves a 9 or a 10. The rest of the 'games' and events throughout were hit-or-miss for me. Some of the comedy was decent, while other times it fell flat.
OVERALL (7/10):
In conclusion, No Game No Life has its flaws, but will likely be an enjoyable watch to anyone as a whole despite these flaws. It's very good at keeping the viewer entertained and is designed to make you want to watch another episode immediately after you've finished one.
---
CONTENT ADVISORY: Lots of sexual comedy and moderate ecchi, though no R-rated details ever sneak in. Some occasional moderate profanity. Best for those ages 13 and up.",7,CatSoul
19815,"
                This was on my list of 'anime I will never watch' because of various factors but I decided to watch at least the first episode because it's Madhouse and because the opening animation looks really good. Somehow it ended up being one of my favourite anime. Oh well.
Story 10/10: I didn't even know this was an Isekai before I watched it, therefore I absolutely expected it to be 12 episodes of Shiro and Sora just playing various online games. I couldn't have been more wrong. It was actually my first Isekai anime ever, and I found it interesting from the very beginning, especially the world
                  they get taken into, the society, the politics, the different races, etc. Stuff I didn't think I'd ever care about made me actually binge the show in 2 days. And the games themselves were quick and somehow managed to be intriguing even if the very premise of the show hinges on them never losing a game.
Art 10/10: This is arguably the most colourful show I've come across, which might be a turn-off for some, but to me it seemed like it really contributed to the overall fantastical atmosphere of the show; I found it a pleasure to look at considering all the very popular very dark anime out there. I especially loved the thing they did in episode 9 where Shiro's feelings came across beautifully thanks to the grayscale used. 
Sound 9/10: I loved the opening song before I even watched it, though the overall ost wasn't particularly noticeable apart from one track. The voice acting, however, is absolutely incredible, in my opinion, especially in the main characters' case. I unintentionally heard some of the dub as well, which... is not horrible I guess, but this is definitely a show that should be watched subbed, just for Shiro's voice. :')
Character 9/10: It's fairly plot-focused and yet it still managed to make me care about all the relevant characters in some way or another, though the main driving force behind the show, to me, were the two main characters and their relationship, which might be off-putting for some, but to me it was beautiful and one of the best sibling relationships I've seen in anime. The side characters were fairly interesting as well, though Steph's character could've been used better, but other than that, coincidentally the characters I found most interesting were the ones who got the least screen-time..
Enjoyment 9/10: The first three episodes I kind of spaced out, I felt like I shouldn't binge this show because it's something meant to be savored, but then I watched episode 4 and I couldn't stop watching; it just grabbed me and never let go. I usually have problems with comedy centered around fanservice, but here it didn't bother me as much as it usually would, and I did find it pretty funny at times. I don't think its rewatch value would be very high though, which is why I'm docking off a point.
Overall 9/10: It has its issues, as is the case with any show, but to me it's not anything that would make me change my opinion of it, though the ending did leave me pretty frustrated and praying that I live to see the day we get a second season. However, as much as I love it, I probably wouldn't recommend it to anyone who tends to be overly critical or dislikes fanservice-driven comedy or just overall doesn't feel interested in it. If you do happen to be interested in it, though, by all means, it is absolutely worth watching.",9,Foxstens
